name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,parfumo_url,parfumo_name,parfumo_brand,parfumo_rating,parfumo_rating_count,parfumo_notes,fragrantica_id,image_url,match_source,_processed
Lovers cassette,loverskasseta,4780071940103,Авто парфюм,Labor sklad,48,12100,90000,labor,,Штука,,,,,,,,,skipped,
London Eye cassette,londonkasseta,4780071940127,Авто парфюм,Labor sklad,47,12100,90000,labor,,Штука,,,,,,,,,skipped,
Santrope cassette,santropekasseta,4780071940097,Авто парфюм,Labor sklad,39,12100,90000,labor,,Штука,,,,,,,,,skipped,
AIN Dubai cassette,aindubaikasseta,4780071940110,Авто парфюм,Labor sklad,50,12100,90000,labor,,Штука,,,,,,,,,skipped,
CAR Parfum Orange,avtoparfum,0752259525956,Авто парфюм,Labor sklad,27,60500,360000,labor,,Штука,,,,,,,,,skipped,
Wood Sage & Sea Salt Jo Malone London,woodsage,2000000005270,Parfum,Labor sklad,80,2420,16000,Jo Malone London,,Милллилитр,,,,,,,25529,https://fimgs.net/mdimg/perfume-social-cards/en-social-25529.jpeg,fragrantica,1
MR Flakon 20 ml,mramor20,2000000005263,Флакон,"Labor sklad, okiii_flakon",49,12100,20000,okiii,,Штука,,,,,,,,,skipped,
Body Lotion Osmanthus Jasmine,bodyosmanthus,5061116470151,Лосьон,,10,24200,120000,labor,,Штука,,,,,,,,,skipped,
Body Lotion Violet Peach,bodyviolet,5061116470144,Лосьон,Labor sklad,5,24200,120000,labor,,Штука,,,,,,,,,skipped,
Body Lotion Vanilla Milk,bodyvanilla,5061116470137,Лосьон,Labor sklad,12,24200,120000,labor,,Штука,,,,,,,,,skipped,
Acqua di Gio Profumo Giorgio Armani,acquadigio-armani,2000000005256,Parfum,Labor sklad,276,2420,16000,Giorgio Armani,,Милллилитр,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_Profumo,Acqua di Giò Profumo Giorgio Armani 2015 Parfum,Giorgio Armani,NA,NA,"Top: Aquatic notes, Bergamot, Spicy notes | Mid: Rosemary, Sage, Geranium | Base: Frankincense, Patchouli",,,parfumo_fuzzy_0.83,1
