name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,fragrantica_id,_processed
Lovers cassette,loverskasseta,4780071940103,Авто парфюм,Labor sklad,48,12100,90000,labor,,Штука,,1
London Eye cassette,londonkasseta,4780071940127,Авто парфюм,Labor sklad,47,12100,90000,labor,,Штука,,1
Santrope cassette,santropekasseta,4780071940097,Авто парфюм,Labor sklad,39,12100,90000,labor,,Штука,,1
AIN Dubai cassette,aindubaikasseta,4780071940110,Авто парфюм,Labor sklad,50,12100,90000,labor,,Штука,,1
CAR Parfum Orange,avtoparfum,0752259525956,Авто парфюм,Labor sklad,27,60500,360000,labor,,Штука,,1
Wood Sage & Sea Salt Jo Malone London,woodsage,2000000005270,Parfum,Labor sklad,80,2420,16000,Jo Malone London,,Милллилитр,25529,1
MR Flakon 20 ml,mramor20,2000000005263,Флакон,"Labor sklad, okiii_flakon",49,12100,20000,okiii,,Штука,,1
Body Lotion Osmanthus Jasmine,bodyosmanthus,5061116470151,Лосьон,,10,24200,120000,labor,,Штука,,1
Body Lotion Violet Peach,bodyviolet,5061116470144,Лосьон,Labor sklad,5,24200,120000,labor,,Штука,,1
Body Lotion Vanilla Milk,bodyvanilla,5061116470137,Лосьон,Labor sklad,12,24200,120000,labor,,Штука,,1
Acqua di Gio Profumo Giorgio Armani,acquadigio-armani,2000000005256,Parfum,Labor sklad,276,2420,16000,Giorgio Armani,,Милллилитр,29727,1
Blue Seduction Antonio Banderas,blueseduc-banderas,2000000005249,Parfum,Labor sklad,141,2420,16000,Antonio Banderas,,Милллилитр,1088,1
Hugo Boss Bottled Unlimited Hugo Boss,unlimited-boss,2000000005232,Parfum,Labor sklad,96,2420,16000,Hugo Boss,,Милллилитр,22528,1
Moschino Funny! Moschino,funny-moschino,2000000005225,Parfum,Labor sklad,25,2420,16000,Moschino,,Милллилитр,1215,1
Valentino Uomo Born In Roma Intense Valentino,uomoborn-valentino,2000000005218,Parfum,Labor sklad,141,2420,16000,Valentino,,Милллилитр,78740,1
Valentino Donna Born In Roma Intense Valentino,donnaborn-valentino,2000000005201,Parfum,Labor sklad,161,2420,16000,Valentino,,Милллилитр,78739,1
Versace Pour Homme Dylan Blue Versace,dylenblue-versace,2000000005195,Parfum,Labor sklad,225,2420,16000,Versace,,Милллилитр,40031,1
Painter Genyum,painter-genyem,2000000005188,Parfum,Labor sklad,711,2420,16000,Genyum,,Милллилитр,54911,1
Bal d'Afrique Absolu Byredo,afriqaabsolu-byredo,2000000005171,Parfum,Labor sklad,311,2420,16000,Byredo,,Милллилитр,108421,1
Dopamine Hormone Paris,dopamin-hormparis,2000000005164,Parfum,Labor sklad,341,2420,16000,Hormone Paris,,Милллилитр,,1
Herod Parfums de Marly,herod-dmarly,2000000005157,Parfum,Labor sklad,391,2420,16000,Parfums de Marly,,Милллилитр,16939,1
Blanche Bete Les Liquides Imaginaires,blanchebete-liquid,2000000005140,Parfum,Labor sklad,276,2420,16000,Liquides Imaginaires,,Милллилитр,70189,1
Torino24 Xerjoff,torino24-Xr,2000000005133,Parfum,Labor sklad,711,2420,16000,Xerjoff,,Милллилитр,99380,1
Noir Tom Ford,noir-tomford,2000000005126,Parfum,Labor sklad,231,2420,16000,Tom Ford,,Милллилитр,15727,1
Aoud Roja Dove,aoud-roja,2000000005119,Parfum,Labor sklad,306,2420,16000,Roja,,Милллилитр,17930,1
Lost In Paris Roja Dove,lostparis-roja,2000000005102,Parfum,Labor sklad,500,2420,16000,ROJA,,Милллилитр,97481,1
Cuir InfraRouge Maison Crivelli,cuir-maisoncr,2000000005096,Parfum,Labor sklad,201,2420,16000,Clive Christian,,Милллилитр,96781,1
Le Beau Paradise Garden Jean Paul Gaultier,paradisegarden,2000000005089,Parfum,Labor sklad,626,2420,16000,Jean Paul Gaultier,,Милллилитр,88836,1
Blonde Amber Clive Christian,blondeamber-clive,2000000005072,Parfum,Labor sklad,190,2420,16000,Clive Christian,,Милллилитр,73595,1
Town & Country Clive Christian,townCountry-clive,2000000005065,Parfum,Labor sklad,391,2420,16000,Clive Christian,,Милллилитр,83240,1
FUGAZZI by BORNTOSTANDOUT,fugazzi-born,2000000005058,Parfum,Labor sklad,185,2420,16000,BORNTOSTANDOUT,,Милллилитр,99255,1
Guidance 46 Amouage,guidance46,2000000005041,Parfum,Labor sklad,468,2420,16000,Amouage,,Милллилитр,94033,1
Colonia iL Profumo Acqua di Parma,colonia iL-parma,2000000005034,Parfum,Labor sklad,586,2420,16000,Acqua di Parma,,Милллилитр,100793,1
Tygar x Refik Anadol Bvlgari,refik-bvlgari,2000000005027,Parfum,Labor sklad,385,2420,16000,Bvlgari,,Милллилитр,108062,1
Avto Parfum Thomas Kosmala №4,avto-thomas,2000000005010,Авто парфюм,Labor sklad,1,12100,40000,labor,,Штука,,1
Avto Parfum Bukhoor,avto-bukhoor,2000000005003,Авто парфюм,Labor sklad,14,12100,40000,labor,,Штука,,1
Avto Parfum Imagination,avto-imagin,2000000004990,Авто парфюм,Labor sklad,1,12100,40000,labor,,Штука,,1
