name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,parfumo_url,match_type,parfumo_url,match_type
Lovers cassette,loverskasseta,4780071940103,Авто парфюм,Labor sklad,48,12100,90000,labor,,Штука,,,,
London Eye cassette,londonkasseta,4780071940127,Авто парфюм,Labor sklad,47,12100,90000,labor,,Штука,,,,
Santrope cassette,santropekasseta,4780071940097,Авто парфюм,Labor sklad,39,12100,90000,labor,,Штука,,,,
AIN Dubai cassette,aindubaikasseta,4780071940110,Авто парфюм,Labor sklad,50,12100,90000,labor,,Штука,,,,
CAR Parfum Orange,avtoparfum,0752259525956,Авто парфюм,Labor sklad,27,60500,360000,labor,,Штука,,,,
Wood Sage & Sea Salt Jo Malone London,woodsage,2000000005270,Parfum,Labor sklad,80,2420,16000,Jo Malone London,,Милллилитр,,,,
MR Flakon 20 ml,mramor20,2000000005263,Флакон,"Labor sklad, okiii_flakon",49,12100,20000,okiii,,Штука,,,,
Body Lotion Osmanthus Jasmine,bodyosmanthus,5061116470151,Лосьон,,10,24200,120000,labor,,Штука,,,,
Body Lotion Violet Peach,bodyviolet,5061116470144,Лосьон,Labor sklad,5,24200,120000,labor,,Штука,,,,
Body Lotion Vanilla Milk,bodyvanilla,5061116470137,Лосьон,Labor sklad,12,24200,120000,labor,,Штука,,,,
Acqua di Gio Profumo Giorgio Armani,acquadigio-armani,2000000005256,Parfum,Labor sklad,276,2420,16000,Giorgio Armani,,Милллилитр,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_Profumo,fuzzy_brand_0.83,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_Profumo,fuzzy_brand_0.83
Blue Seduction Antonio Banderas,blueseduc-banderas,2000000005249,Parfum,Labor sklad,141,2420,16000,Antonio Banderas,,Милллилитр,,,,
Hugo Boss Bottled Unlimited Hugo Boss,unlimited-boss,2000000005232,Parfum,Labor sklad,96,2420,16000,Hugo Boss,,Милллилитр,,,,
Moschino Funny! Moschino,funny-moschino,2000000005225,Parfum,Labor sklad,25,2420,16000,Moschino,,Милллилитр,,,,
Valentino Uomo Born In Roma Intense Valentino,uomoborn-valentino,2000000005218,Parfum,Labor sklad,141,2420,16000,Valentino,,Милллилитр,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-born-in-roma-intense,fuzzy_brand_0.88,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-born-in-roma-intense,fuzzy_brand_0.88
Valentino Donna Born In Roma Intense Valentino,donnaborn-valentino,2000000005201,Parfum,Labor sklad,161,2420,16000,Valentino,,Милллилитр,https://www.parfumo.com/Perfumes/Valentino/valentino-donna-born-in-roma-intense,fuzzy_brand_0.88,https://www.parfumo.com/Perfumes/Valentino/valentino-donna-born-in-roma-intense,fuzzy_brand_0.88
Versace Pour Homme Dylan Blue Versace,dylenblue-versace,2000000005195,Parfum,Labor sklad,225,2420,16000,Versace,,Милллилитр,https://www.parfumo.com/Perfumes/Versace/Versace_pour_Femme_Dylan_Blue,fuzzy_brand_0.82,https://www.parfumo.com/Perfumes/Versace/Versace_pour_Femme_Dylan_Blue,fuzzy_brand_0.82
Painter Genyum,painter-genyem,2000000005188,Parfum,Labor sklad,711,2420,16000,Genyum,,Милллилитр,,,,
